,Repository,Forks,avg_grade,Correlation
106,ECE437-MIPS-single-cycle-processor,1,0.002786485545106235,-0.07007988161557654
107,laweasyread-data,2,6.95689182442442e-05,-0.07007988161557654
108,Intersection,2,0.25467775467775466,-0.07007988161557654
109,pandabrew,1,0.02247191011235955,-0.07007988161557654
110,sfdc-kc,0,0.0008025682182985554,-0.07007988161557654
111,0xVim,1,0.12043795620437957,-0.07007988161557654
112,usbHid1769,0,0.06564836492712031,-0.07007988161557654
113,funKTionale,69,0.009844395046046363,-0.07007988161557654
114,MixedModels.jl,45,0.1298076923076923,-0.07007988161557654
115,auxos-ros-pkg,0,0.029197080291970802,-0.07007988161557654
116,apple_scripts,6,0.002458512599877074,-0.07007988161557654
117,OpenPics,16,0.0003199317478937827,-0.07007988161557654
118,Cappucino-Test-ArrayController1,0,0.020235467255334805,-0.07007988161557654
119,Quandl.jl,33,0.3235294117647059,-0.07007988161557654
120,MPFR.jl,1,0.29850746268656714,-0.07007988161557654
121,image_adapter,0,,-0.07007988161557654
122,MD_workflow,13,0.00014456740250565312,-0.07007988161557654
123,Dist-Zilla-PluginBundle-RJBS,6,0.04054054054054054,-0.07007988161557654
124,netpred,2,0.0003479987221030532,-0.07007988161557654
125,gr-fcdproplus,18,0.0007575757575757575,-0.07007988161557654
126,resonate13_kirnshop,0,0.0017865707434052756,-0.07007988161557654
127,pindel,87,6.443572609544396e-05,-0.07007988161557654
128,rygel,11,0.006211180124223602,-0.07007988161557654
129,puremvc-haxe-multicore-framework,7,0.00023255813953488373,-0.07007988161557654
130,ndyacclex,17,0.005067045665204227,-0.07007988161557654
131,GeoAlg.jl,5,0.009578544061302681,-0.07007988161557654
132,thinker,0,0.021350259665320254,-0.07007988161557654
133,shocksInBurgersEquation,0,0.00012220788919818046,-0.07007988161557654
134,sc_periph,5,0.004043767840152236,-0.07007988161557654
135,JADA_Tech-ENGR100,1,,-0.07007988161557654
136,lovebeat,8,0.04954954954954954,-0.07007988161557654
137,sawfish,26,0.0034436418612464304,-0.07007988161557654
138,Si4707_Breakout,12,0.00630967206309672,-0.07007988161557654
139,WWDCNotify,1,0.007241813602015113,-0.07007988161557654
140,ADT,5,0.016272189349112426,-0.07007988161557654
141,cm_device_rockchip_rk2918,1,0.06454816285998013,-0.07007988161557654
142,Asteroids_Vala,1,0.18250950570342206,-0.07007988161557654
143,puremvc-haxe-util-async-stub,1,0.00018259003971333364,-0.07007988161557654
144,ElectricalEnergyStorage,14,0.003077995237818689,-0.07007988161557654
145,openni_launch,25,0.013816925734024179,-0.07007988161557654
146,numbapro-examples,93,0.005747126436781609,-0.07007988161557654
147,Clannad_VN_Flowcharts,4,0.02606912712360867,-0.07007988161557654
148,metalib,21,0.0061755624172915745,-0.07007988161557654
149,puremvc-haxe-demo-xinf-stopwatch,1,8.445708172630275e-05,-0.07007988161557654
150,tcl-misc,0,0.1534320323014805,-0.07007988161557654
151,g33k,157,0.012948233844835436,-0.07007988161557654
152,Autofacto,0,0.015228426395939087,-0.07007988161557654
153,Test-Differences,8,0.041916167664670656,-0.07007988161557654
154,q3,24,0.004807692307692308,-0.07007988161557654
155,WarehousePhone,6,0.0005713469504356521,-0.07007988161557654
156,LAB-Streaming-API-Demo,1,0.5,-0.07007988161557654
157,openshift-neko-nginx,2,0.5123152709359606,-0.07007988161557654
158,sdram_controller,2,0.01283394447354636,-0.07007988161557654
159,railway-validator,1,0.20464316423043852,-0.07007988161557654
160,WordPerfect,1,,-0.07007988161557654
161,lingex,8,0.10964912280701754,-0.07007988161557654
162,glfw-rs,115,0.012269938650306749,-0.07007988161557654
163,currentlyPlaying,0,0.025793650793650792,-0.07007988161557654
164,salesforceApp,0,,-0.07007988161557654
165,tode,16,0.01549865229110512,-0.07007988161557654
166,p6-IO-Path-More,4,0.09090909090909091,-0.07007988161557654
167,PAsty-Bridge,0,0.013440860215053764,-0.07007988161557654
168,angular-gestures,105,0.03550295857988166,-0.07007988161557654
169,gntp-plugin,0,0.001623962468422952,-0.07007988161557654
170,mtocoq,0,0.008661048689138577,-0.07007988161557654
171,max_package_downloader,7,0.017241379310344827,-0.07007988161557654
172,WasteWater,34,0.004989991006411558,-0.07007988161557654
173,larceny,29,0.0020338045967933024,-0.07007988161557654
174,docs,27,2.5500910746812387e-05,-0.07007988161557654
175,AutoHotKey,2,0.00686106346483705,-0.07007988161557654
176,xpressada,0,0.0446927374301676,-0.07007988161557654
177,Alfred-WorkFlows,8,0.05555555555555555,-0.07007988161557654
178,Spot,4,0.00010926175474378118,-0.07007988161557654
179,FilmRedux,1,0.0012171888230313294,-0.07007988161557654
180,sandbox,0,0.013620386643233744,-0.07007988161557654
181,nested,4,0.01937269372693727,-0.07007988161557654
182,bakkabot,1,0.0703125,-0.07007988161557654
183,Synthesizer,0,0.9606215410813113,-0.07007988161557654
184,gtkimageview,0,0.020202020202020204,-0.07007988161557654
185,SeasonHunter,0,0.026745913818722142,-0.07007988161557654
186,CLIP,11,0.01671891327063741,-0.07007988161557654
187,ws_fnc,5,0.04950495049504951,-0.07007988161557654
188,Grim-Fandango-Setup-and-Launcher,2,0.06118493909191583,-0.07007988161557654
189,adobe-blank,12,0.004782608695652174,-0.07007988161557654
190,illucia_dtr,10,0.0004485961579058476,-0.07007988161557654
191,Push,2,0.029609690444145357,-0.07007988161557654
192,Balanduino,98,0.0006479354420686811,-0.07007988161557654
193,ops-platform-setup,4,0.013736263736263736,-0.07007988161557654
194,rose_backup,2,0.5,-0.07007988161557654
195,visages-superproject,4,0.02824858757062147,-0.07007988161557654
196,HaxePunk-UI,5,0.00823937554206418,-0.07007988161557654
197,bats-dev,0,0.02489383279457438,-0.07007988161557654
198,key-defender,0,7.76427192630392e-05,-0.07007988161557654
199,ceylon-hands-on,0,0.5,-0.07007988161557654
200,bitcoin_arbitrage,17,0.017223910840932118,-0.07007988161557654
201,uboot,11,0.07692307692307693,-0.07007988161557654
202,Unstack2,2,0.04310344827586207,-0.07007988161557654
