,Repository,Forks,avg_grade,Correlation
0,parser,188,0.026683518159390192,-0.07850685911886661
1,meta-smalltalk,1,0.09038280128181159,-0.07850685911886661
2,wireless-TCP-caching,0,0.02658287830808772,-0.07850685911886661
3,FSCrypto,0,0.30452249292144185,-0.07850685911886661
4,ncbo_annotator,12,0.11869961731699516,-0.07850685911886661
5,Catalan.jl,5,0.06287923856377468,-0.07850685911886661
6,KataEight,0,0.2600839553531562,-0.07850685911886661
7,LAB-Mo-Tester,11,0.07066098837482246,-0.07850685911886661
8,tf-mapper,0,0.20230423691583663,-0.07850685911886661
9,BPlusTrees,0,0.321697675349609,-0.07850685911886661
10,TrackzFunkyIdeaz,0,0.17202398587501722,-0.07850685911886661
11,SASP-Project,0,0.3966085838056871,-0.07850685911886661
12,old.blog,50,0.06707061022337166,-0.07850685911886661
13,SpreadSheetTableView,2,0.18834021586417243,-0.07850685911886661
14,shortcapri,1,0.1516432209173969,-0.07850685911886661
15,chewy-cmake-rep,0,0.13144077149368294,-0.07850685911886661
16,Cellule,2,0.15738502588794717,-0.07850685911886661
17,CP-Project,0,0.16695710791465854,-0.07850685911886661
18,dancingball,1,0.39482152532582754,-0.07850685911886661
19,TCL-Eggdrop,17,0.04460126443378626,-0.07850685911886661
20,gpio,1,0.22828304743871802,-0.07850685911886661
21,HSR.modules.SMS.project.Hardrock,0,0.19365157323715382,-0.07850685911886661
22,385FinalProject,0,0.0718983736922014,-0.07850685911886661
23,hackfoldr,145,0.3500206017431565,-0.07850685911886661
24,elcano,69,0.11524884824913978,-0.07850685911886661
25,cug2013-torque,0,0.41313678930625675,-0.07850685911886661
26,project,0,0.11687752147862636,-0.07850685911886661
27,Portable-VirtualBox,209,0.07426518918042313,-0.07850685911886661
28,transit,0,0.1774820970510167,-0.07850685911886661
29,monkey-utf8,1,0.010729107263105045,-0.07850685911886661
30,veggtrafikant,0,0.21253045906977464,-0.07850685911886661
31,PlantSimLab,0,,-0.07850685911886661
32,bin,0,0.0740838927475942,-0.07850685911886661
33,rebolbot,6,0.36076354253122417,-0.07850685911886661
34,Cours-Python,1,0.41658990143562624,-0.07850685911886661
35,ClusteringAdequation,0,0.1502236079020134,-0.07850685911886661
36,dbclass-exercises,32,0.7505756984133631,-0.07850685911886661
37,Basys2,1,0.19043119388431484,-0.07850685911886661
38,FluentSQL,1,0.19381654568039403,-0.07850685911886661
39,demo-postgresql-php,4,0.2660974433671935,-0.07850685911886661
40,dklang,12,0.20940374016074417,-0.07850685911886661
41,hinitiality,1,0.19373245985812462,-0.07850685911886661
42,ar-epp-extensions,1,0.0969820297419926,-0.07850685911886661
