,Repository,Forks,avg_grade,Correlation
0,parser,188,0.02227272727272727,-0.07730041057058801
1,meta-smalltalk,1,0.0892116182572614,-0.07730041057058801
2,wireless-TCP-caching,0,0.03125,-0.07730041057058801
3,FSCrypto,0,0.2857142857142857,-0.07730041057058801
4,ncbo_annotator,12,0.09333333333333334,-0.07730041057058801
5,Catalan.jl,5,0.06456456456456455,-0.07730041057058801
6,KataEight,0,0.25925925925925924,-0.07730041057058801
7,LAB-Mo-Tester,11,0.13043478260869565,-0.07730041057058801
8,tf-mapper,0,0.19886363636363635,-0.07730041057058801
9,BPlusTrees,0,0.29545454545454547,-0.07730041057058801
10,TrackzFunkyIdeaz,0,0.11842105263157894,-0.07730041057058801
11,SASP-Project,0,0.39814814814814814,-0.07730041057058801
12,old.blog,50,0.04,-0.07730041057058801
13,SpreadSheetTableView,2,0.2,-0.07730041057058801
14,shortcapri,1,0.1656441717791411,-0.07730041057058801
15,chewy-cmake-rep,0,0.12643678160919541,-0.07730041057058801
16,Cellule,2,0.23750000000000002,-0.07730041057058801
17,CP-Project,0,0.16783216783216784,-0.07730041057058801
18,dancingball,1,0.4375,-0.07730041057058801
19,TCL-Eggdrop,17,0.03587443946188341,-0.07730041057058801
20,gpio,1,0.22058823529411764,-0.07730041057058801
21,HSR.modules.SMS.project.Hardrock,0,0.17391304347826086,-0.07730041057058801
22,385FinalProject,0,0.072992700729927,-0.07730041057058801
23,hackfoldr,145,0.3165137614678899,-0.07730041057058801
24,elcano,69,0.11878453038674033,-0.07730041057058801
25,cug2013-torque,0,0.4098360655737705,-0.07730041057058801
26,project,0,0.10144927536231885,-0.07730041057058801
27,Portable-VirtualBox,209,0.07939508506616258,-0.07730041057058801
28,transit,0,0.1511627906976744,-0.07730041057058801
29,monkey-utf8,1,0.0136986301369863,-0.07730041057058801
30,veggtrafikant,0,0.20481927710843373,-0.07730041057058801
31,PlantSimLab,0,,-0.07730041057058801
32,bin,0,0.0,-0.07730041057058801
33,rebolbot,6,0.3425925925925926,-0.07730041057058801
34,Cours-Python,1,0.42899408284023666,-0.07730041057058801
35,ClusteringAdequation,0,0.043478260869565216,-0.07730041057058801
36,dbclass-exercises,32,0.6956521739130435,-0.07730041057058801
37,Basys2,1,0.12025316455696203,-0.07730041057058801
38,FluentSQL,1,0.13793103448275862,-0.07730041057058801
39,demo-postgresql-php,4,0.2777777777777778,-0.07730041057058801
40,dklang,12,0.19960474308300397,-0.07730041057058801
41,hinitiality,1,0.15476190476190477,-0.07730041057058801
42,ar-epp-extensions,1,0.0925414364640884,-0.07730041057058801
43,RealTimeCoordinationLibrary,4,0.12222222222222222,-0.07730041057058801
44,File-HomeDir,4,0.3057324840764331,-0.07730041057058801
45,test,0,0.7142857142857143,-0.07730041057058801
46,SynWrite,18,0.19491525423728814,-0.07730041057058801
47,registration-plates,1,0.0645933014354067,-0.07730041057058801
48,Pulsum-Plantae,20,0.0,-0.07730041057058801
49,con_cache,58,0.05533980582524271,-0.07730041057058801
50,design-b,1,0.6086956521739131,-0.07730041057058801
51,glowing-lana,0,0.15730337078651685,-0.07730041057058801
52,LAB8,0,0.19101123595505617,-0.07730041057058801
53,juliaparsec,1,0.140625,-0.07730041057058801
54,introducao-a-programacao-livro,18,0.1,-0.07730041057058801
55,swingame,8,0.17083333333333334,-0.07730041057058801
56,UOAuthClient,0,0.058695652173913045,-0.07730041057058801
57,ssdn_puredata,0,0.6234567901234568,-0.07730041057058801
58,3D_Models,102,0.334319526627219,-0.07730041057058801
